TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2024-02-01,SAKSOFT,BE,313.95,314.0,307.0,308.55,309.5,310.65,53183,16446142.85,2164,INE667G01023
2024-02-01,HAPPYFORGE,EQ,1000.0,1003.95,973.1,980.15,986.0,989.75,80153,79298873.6,10551,INE330T01021
2024-02-01,HAPPSTMNDS,EQ,879.0,879.7,862.1,864.2,863.95,876.05,154158,133689273.55,13758,INE419U01012
2024-02-01,HAL,EQ,3020.0,3074.0,2955.15,2997.55,2995.0,2999.4,1920618,5796405162.7,129874,INE066F01020
2024-02-01,GVPTECH,BE,11.65,11.9,11.65,11.9,11.9,11.85,162481,1909833.3,266,INE382T01030
2024-02-01,GVKPIL,BE,12.5,12.95,12.4,12.95,12.95,12.35,6601978,84679976.5,11843,INE251H01024
2024-02-01,GULPOLY,EQ,202.0,218.8,202.0,208.4,208.85,203.3,515417,109009242.6,17024,INE255D01024
2024-02-01,GULFPETRO,EQ,73.15,77.75,71.55,74.35,73.95,73.05,589250,44026252.9,4385,INE586G01017
2024-02-01,HARDWYN,EQ,44.5,44.5,43.25,43.7,43.75,44.35,258515,11315335.65,2372,INE626Z01029
2024-02-01,GULFOILLUB,EQ,798.0,822.95,797.1,806.35,808.15,796.4,115860,93830050.3,10448,INE635Q01029
2024-02-01,GUJGASLTD,EQ,587.4,593.0,575.45,579.85,580.1,581.3,1400836,816132958.55,36474,INE844O01030
2024-02-01,GUJAPOLLO,BE,307.0,307.0,290.5,296.5,303.95,300.85,23391,6953841.3,360,INE826C01016
2024-02-01,GUJALKALI,EQ,804.5,804.5,784.25,798.15,798.35,791.9,202662,161334117.65,13730,INE186A01019
2024-02-01,GUFICBIO,EQ,352.4,355.45,340.3,343.75,346.5,352.4,167016,57954029.45,9594,INE742B01025
2024-02-01,GTPL,EQ,196.45,201.05,191.0,192.25,193.15,195.1,111482,21590034.35,6574,INE869I01013
2024-02-01,GTLINFRA,EQ,1.9,1.9,1.85,1.9,1.9,1.85,154920324,293934337.05,31542,INE221H01019
2024-02-01,GTL,BE,15.7,15.85,15.45,15.85,15.85,15.1,2066569,32633902.9,4251,INE043A01012
2024-02-01,GUJRAFFIA,BE,49.85,49.85,49.85,49.85,49.85,48.9,281,14007.85,7,INE610B01024
2024-02-01,HARIOMPIPE,EQ,619.3,620.0,595.3,600.3,605.0,610.1,32123,19451070.95,4793,INE00EV01017
2024-02-01,HARRMALAYA,EQ,187.9,187.95,181.55,185.9,187.0,187.05,55468,10232905.05,885,INE544A01019
2024-02-01,HARSHA,EQ,408.0,413.15,397.3,398.6,398.0,405.35,131727,53143364.65,8272,INE0JUS01029
2024-02-01,HDFCLIQUID,EQ,999.99,1000.01,999.99,1000.01,1000.01,999.99,610,610004.56,7,INF179KC1HE2
2024-02-01,HDFCLIFE,EQ,577.2,591.4,567.2,587.1,586.0,576.6,8911872,5190148404.55,156426,INE795G01014
2024-02-01,HDFCGROWTH,EQ,110.21,111.69,108.13,111.25,110.28,110.21,4700,521913.44,101,INF179KC1DJ0
2024-02-01,HDFCGOLD,EQ,54.87,54.87,54.6,54.72,54.78,54.68,324052,17736803.41,1754,INF179KC1981
2024-02-01,HDFCBSE500,EQ,31.9,31.9,31.0,31.63,31.51,31.29,13703,431783.85,300,INF179KC1EZ4
