_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,COP_DELIV_QTY,COP_DELIV_PERC,VWAP,mTIMESTAMP,Rolling_Delivery
64c8f3ffa483e90006b4f624,CHOLAFIN,EQ,N,1138.45,1125.0,1135.9,1130.45,1126.0,1132.1,1034376,1169502272.65,1214.6,658.0,43302,INE121A01024,2023-08-01,2023-07-31 18:30:00+00:00,2023-08-01T12:01:03.781Z,2023-08-01T12:01:03.781Z,0,400590,38.73,1130.64,01-Aug-2023,
64c8f3fda483e90006b4ecb7,CHOLAFIN,N4,N,1018.11,1018.11,1018.11,1018.11,1018.11,1018.0,100,101811.0,1023.64,1000.0,1,INE121A07QY9,2023-08-01,2023-07-31 18:30:00+00:00,2023-08-01T12:01:01.697Z,2023-08-01T12:01:01.697Z,0,100,100.0,1018.11,01-Aug-2023,
64ca45801adbb90007bd8b9a,CHOLAFIN,EQ,N,1126.4,1073.45,1099.0,1099.4,1102.0,1130.45,9033508,9952846516.1,1214.6,658.0,256242,INE121A01024,2023-08-02,2023-08-01 18:30:00+00:00,2023-08-02T12:01:04.203Z,2023-08-02T12:01:04.203Z,0,3623255,40.11,1101.77,02-Aug-2023,
64ca457d1adbb90007bd823d,CHOLAFIN,N0,N,1024.0,1024.0,1024.0,1024.0,1024.0,1010.0,20,20480.0,1024.0,1000.0,1,INE121A07RB5,2023-08-02,2023-08-01 18:30:00+00:00,2023-08-02T12:01:01.961Z,2023-08-02T12:01:01.961Z,0,20,100.0,1024.0,02-Aug-2023,
64ca457d1adbb90007bd823e,CHOLAFIN,N2,N,1020.0,1000.51,1000.51,1020.0,1020.0,1000.5,20,20205.1,1020.0,990.0,2,INE121A07QW3,2023-08-02,2023-08-01 18:30:00+00:00,2023-08-02T12:01:01.966Z,2023-08-02T12:01:01.966Z,0,0,0.0,1010.25,02-Aug-2023,
64ca457d1adbb90007bd823f,CHOLAFIN,N4,N,1021.5,1018.01,1021.5,1018.01,1018.01,1018.11,176,179536.21,1023.64,1000.0,5,INE121A07QY9,2023-08-02,2023-08-01 18:30:00+00:00,2023-08-02T12:01:01.955Z,2023-08-02T12:01:01.955Z,0,176,100.0,1020.09,02-Aug-2023,
64ca457d1adbb90007bd8240,CHOLAFIN,N5,N,1004.0,1004.0,1004.0,1004.0,1004.0,1015.0,20,20080.0,1015.0,991.0,1,INE121A07QX1,2023-08-02,2023-08-01 18:30:00+00:00,2023-08-02T12:01:01.963Z,2023-08-02T12:01:01.963Z,0,20,100.0,1004.0,02-Aug-2023,
64cb9700aa61c7000746dbfd,CHOLAFIN,EQ,N,1106.2,1051.0,1099.95,1070.45,1072.5,1099.4,2445500,2617817863.45,1214.6,658.0,104271,INE121A01024,2023-08-03,2023-08-02 18:30:00+00:00,2023-08-03T12:01:04.337Z,2023-08-03T12:01:04.337Z,0,1118317,45.73,1070.46,03-Aug-2023,
64cb96fdaa61c7000746d2c0,CHOLAFIN,N4,N,1018.01,1018.01,1018.01,1018.01,1018.01,1018.01,2,2036.02,1023.64,1000.0,1,INE121A07QY9,2023-08-03,2023-08-02 18:30:00+00:00,2023-08-03T12:01:01.936Z,2023-08-03T12:01:01.936Z,0,2,100.0,1018.01,03-Aug-2023,
64cce88072897000075c20a9,CHOLAFIN,EQ,N,1092.0,1072.15,1083.9,1085.3,1080.75,1070.45,1562887,1690826089.95,1214.6,658.0,58484,INE121A01024,2023-08-04,2023-08-03 18:30:00+00:00,2023-08-04T12:01:04.336Z,2023-08-04T12:01:04.336Z,0,944581,60.44,1081.86,04-Aug-2023,
64cce87e72897000075c169f,CHOLAFIN,N4,N,1018.0,1018.0,1018.0,1018.0,1018.0,1018.01,198,201564.0,1023.64,1000.0,1,INE121A07QY9,2023-08-04,2023-08-03 18:30:00+00:00,2023-08-04T12:01:02.016Z,2023-08-04T12:01:02.016Z,0,198,100.0,1018.0,04-Aug-2023,
64cce87e72897000075c16a0,CHOLAFIN,N5,N,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,50,50200.0,1015.0,991.0,3,INE121A07QX1,2023-08-04,2023-08-03 18:30:00+00:00,2023-08-04T12:01:02.016Z,2023-08-04T12:01:02.016Z,0,50,100.0,1004.0,04-Aug-2023,
64d0dcff894f76000797f26a,CHOLAFIN,EQ,N,1083.8,1063.2,1082.0,1067.95,1067.05,1085.3,1332355,1426197995.15,1214.6,658.0,73814,INE121A01024,2023-08-07,2023-08-06 18:30:00+00:00,2023-08-07T12:01:03.685Z,2023-08-07T12:01:03.685Z,0,708235,53.16,1070.43,07-Aug-2023,
64d0dcfd894f76000797e902,CHOLAFIN,N5,N,1015.0,1015.0,1015.0,1015.0,1015.0,1004.0,10,10150.0,1015.0,991.0,1,INE121A07QX1,2023-08-07,2023-08-06 18:30:00+00:00,2023-08-07T12:01:01.581Z,2023-08-07T12:01:01.581Z,0,10,100.0,1015.0,07-Aug-2023,
64d22e80d81ef80007d0d226,CHOLAFIN,EQ,N,1073.3,1050.95,1067.95,1057.8,1059.45,1067.95,1948626,2064999616.35,1214.6,658.0,93624,INE121A01024,2023-08-08,2023-08-07 18:30:00+00:00,2023-08-08T12:01:04.159Z,2023-08-08T12:01:04.159Z,0,1156446,59.35,1059.72,08-Aug-2023,
64d22e7ed81ef80007d0c8bf,CHOLAFIN,N0,N,1010.0,1010.0,1010.0,1010.0,1010.0,1024.0,52,52520.0,1024.0,1000.0,2,INE121A07RB5,2023-08-08,2023-08-07 18:30:00+00:00,2023-08-08T12:01:02.226Z,2023-08-08T12:01:02.226Z,0,52,100.0,1010.0,08-Aug-2023,
64d22e7ed81ef80007d0c8c0,CHOLAFIN,N2,N,1224.0,1018.0,1224.0,1018.0,1018.0,1020.0,2,2242.0,1224.0,990.0,2,INE121A07QW3,2023-08-08,2023-08-07 18:30:00+00:00,2023-08-08T12:01:02.218Z,2023-08-08T12:01:02.218Z,0,1,50.0,1121.0,08-Aug-2023,
64d22e7ed81ef80007d0c8c1,CHOLAFIN,N4,N,1019.0,1017.0,1019.0,1017.0,1017.0,1018.0,1352,1376219.0,1023.64,1000.0,10,INE121A07QY9,2023-08-08,2023-08-07 18:30:00+00:00,2023-08-08T12:01:02.227Z,2023-08-08T12:01:02.227Z,0,1352,100.0,1017.91,08-Aug-2023,
64d22e7ed81ef80007d0c8c2,CHOLAFIN,N5,N,1045.0,1045.0,1045.0,1045.0,1045.0,1015.0,1,1045.0,1045.0,991.0,1,INE121A07QX1,2023-08-08,2023-08-07 18:30:00+00:00,2023-08-08T12:01:02.223Z,2023-08-08T12:01:02.223Z,0,1,100.0,1045.0,08-Aug-2023,
64d37fff9053d900069e5949,CHOLAFIN,EQ,N,1065.9,1049.85,1057.8,1055.65,1054.5,1057.8,847254,894659675.0,1214.6,658.0,42602,INE121A01024,2023-08-09,2023-08-08 18:30:00+00:00,2023-08-09T12:01:03.808Z,2023-08-09T12:01:03.808Z,0,463561,54.71,1055.95,09-Aug-2023,
64d37ffd9053d900069e500d,CHOLAFIN,N0,N,1003.0,1003.0,1003.0,1003.0,1003.0,1010.0,25,25075.0,1024.0,1000.0,1,INE121A07RB5,2023-08-09,2023-08-08 18:30:00+00:00,2023-08-09T12:01:01.639Z,2023-08-09T12:01:01.639Z,0,25,100.0,1003.0,09-Aug-2023,
64d37ffd9053d900069e500e,CHOLAFIN,N4,N,1018.0,1016.0,1016.0,1018.0,1018.0,1017.0,6,6098.0,1023.64,1000.0,2,INE121A07QY9,2023-08-09,2023-08-08 18:30:00+00:00,2023-08-09T12:01:01.636Z,2023-08-09T12:01:01.636Z,0,6,100.0,1016.33,09-Aug-2023,
64d37ffd9053d900069e500f,CHOLAFIN,N5,N,1015.0,1015.0,1015.0,1015.0,1015.0,1045.0,5,5075.0,1045.0,991.0,1,INE121A07QX1,2023-08-09,2023-08-08 18:30:00+00:00,2023-08-09T12:01:01.641Z,2023-08-09T12:01:01.641Z,0,5,100.0,1015.0,09-Aug-2023,
64d4d1bcf9992d00073feb5c,CHOLAFIN,EQ,N,1070.7,1038.25,1054.6,1060.25,1070.0,1055.65,2808684,2948450469.1,1214.6,658.0,62201,INE121A01024,2023-08-10,2023-08-09 18:30:00+00:00,2023-08-10T12:02:04.439Z,2023-08-10T12:02:04.439Z,0,1860712,66.25,1049.76,10-Aug-2023,
64d4d1baf9992d00073fe225,CHOLAFIN,N0,N,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,20,20060.0,1024.0,1000.0,1,INE121A07RB5,2023-08-10,2023-08-09 18:30:00+00:00,2023-08-10T12:02:02.364Z,2023-08-10T12:02:02.364Z,0,20,100.0,1003.0,10-Aug-2023,
64d622ffd81ef80007d0dee2,CHOLAFIN,EQ,N,1066.75,1040.0,1064.95,1043.25,1042.0,1060.25,1319743,1387634369.85,1214.6,658.0,39638,INE121A01024,2023-08-11,2023-08-10 18:30:00+00:00,2023-08-11T12:01:03.951Z,2023-08-11T12:01:03.951Z,0,866755,65.68,1051.44,11-Aug-2023,
64d622fdd81ef80007d0d5a4,CHOLAFIN,N4,N,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,260,264680.0,1023.64,1000.0,4,INE121A07QY9,2023-08-11,2023-08-10 18:30:00+00:00,2023-08-11T12:01:01.967Z,2023-08-11T12:01:01.967Z,0,260,100.0,1018.0,11-Aug-2023,
64d622fed81ef80007d0d710,CHOLAFIN,N6,N,1000.0,992.0,996.0,999.46,1000.0,1000.0,348564,347906314.0,1000.0,992.0,553,INE121A07RH2,2023-08-11,2023-08-10 18:30:00+00:00,2023-08-11T12:01:02.288Z,2023-08-11T12:01:02.288Z,0,340230,97.61,998.11,11-Aug-2023,
64d622fed81ef80007d0d711,CHOLAFIN,N7,N,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,5,5000.0,1000.0,1000.0,1,INE121A07RG4,2023-08-11,2023-08-10 18:30:00+00:00,2023-08-11T12:01:02.295Z,2023-08-11T12:01:02.295Z,0,5,100.0,1000.0,11-Aug-2023,
64d622fed81ef80007d0d712,CHOLAFIN,N8,N,1000.0,997.0,999.89,998.29,997.0,1000.0,245570,245485096.75,1000.0,997.0,1737,INE121A07RF6,2023-08-11,2023-08-10 18:30:00+00:00,2023-08-11T12:01:02.297Z,2023-08-11T12:01:02.297Z,0,245569,100.0,999.65,11-Aug-2023,81.059
64d622fed81ef80007d0d713,CHOLAFIN,NA,N,999.89,995.0,995.0,997.0,997.0,1000.0,14502,14454213.99,999.89,995.0,41,INE121A07RE9,2023-08-11,2023-08-10 18:30:00+00:00,2023-08-11T12:01:02.298Z,2023-08-11T12:01:02.298Z,0,13132,90.55,996.7,11-Aug-2023,82.78633333333333
64dc73a8846cee6c06872e1d,CHOLAFIN,EQ,N,1041.9,1022.1,1038.55,1037.8,1035.75,1043.25,899825,927977131.2,1214.6,658.0,41153,INE121A01024,2023-08-14,2023-08-13 18:30:00+00:00,2023-08-16T06:58:48.235Z,2023-08-16T06:58:48.235Z,0,379851,42.21,1031.29,14-Aug-2023,80.86
64dc73a6846cee6c068724df,CHOLAFIN,N4,N,1018.0,1014.0,1018.0,1014.0,1014.0,1018.0,68,69164.0,1023.64,1000.0,3,INE121A07QY9,2023-08-14,2023-08-13 18:30:00+00:00,2023-08-16T06:58:46.263Z,2023-08-16T06:58:46.263Z,0,53,77.94,1017.12,14-Aug-2023,82.121
64dc73a6846cee6c0687265a,CHOLAFIN,N6,N,999.46,994.3,999.46,994.3,994.3,999.46,226,225357.9,1000.0,992.0,3,INE121A07RH2,2023-08-14,2023-08-13 18:30:00+00:00,2023-08-16T06:58:46.634Z,2023-08-16T06:58:46.634Z,0,226,100.0,997.16,14-Aug-2023,82.121
64dc73a6846cee6c0687265b,CHOLAFIN,NA,N,999.0,994.4,999.0,998.9,998.9,997.0,294,293152.2,999.89,994.4,16,INE121A07RE9,2023-08-14,2023-08-13 18:30:00+00:00,2023-08-16T06:58:46.635Z,2023-08-16T06:58:46.635Z,0,194,65.99,997.12,14-Aug-2023,84.32066666666667
64dcba7f413f8d6c17d9d8f0,CHOLAFIN,EQ,N,1032.55,1012.5,1032.55,1017.15,1017.0,1037.8,1521299,1550031358.9,1214.6,658.0,45620,INE121A01024,2023-08-16,2023-08-15 18:30:00+00:00,2023-08-16T12:01:03.475Z,2023-08-16T12:01:03.475Z,0,885218,58.19,1018.89,16-Aug-2023,82.92699999999999
64dcba7d413f8d6c17d9d09c,CHOLAFIN,N4,N,1015.0,1014.99,1014.99,1015.0,1015.0,1014.0,377,382653.85,1023.64,1000.0,8,INE121A07QY9,2023-08-16,2023-08-15 18:30:00+00:00,2023-08-16T12:01:01.757Z,2023-08-16T12:01:01.757Z,0,377,100.0,1015.0,16-Aug-2023,82.92699999999999
64dcba7e413f8d6c17d9d1de,CHOLAFIN,N6,N,995.0,994.3,995.0,994.34,994.34,994.3,590,586716.9,1000.0,992.0,10,INE121A07RH2,2023-08-16,2023-08-15 18:30:00+00:00,2023-08-16T12:01:02.047Z,2023-08-16T12:01:02.047Z,0,590,100.0,994.44,16-Aug-2023,84.736
64dcba7e413f8d6c17d9d1df,CHOLAFIN,NA,N,1000.9,994.36,1000.9,1000.0,1000.0,998.9,237,237020.52,1000.9,994.36,10,INE121A07RE9,2023-08-16,2023-08-15 18:30:00+00:00,2023-08-16T12:01:02.056Z,2023-08-16T12:01:02.056Z,0,237,100.0,1000.09,16-Aug-2023,84.736
64de0c0030b066288ad3a543,CHOLAFIN,EQ,N,1036.3,1015.0,1017.0,1020.8,1020.0,1017.15,875661,897854080.95,1214.6,658.0,43309,INE121A01024,2023-08-17,2023-08-16 18:30:00+00:00,2023-08-17T12:01:04.405Z,2023-08-17T12:01:04.405Z,0,422452,48.24,1025.34,17-Aug-2023,84.32933333333334
64de0bfe30b066288ad39d6d,CHOLAFIN,N6,N,994.01,989.0,994.01,993.0,993.0,994.34,1664,1647513.13,1000.0,989.0,26,INE121A07RH2,2023-08-17,2023-08-16 18:30:00+00:00,2023-08-17T12:01:02.790Z,2023-08-17T12:01:02.790Z,0,1664,100.0,990.09,17-Aug-2023,84.32933333333334
64de0bfe30b066288ad39d6e,CHOLAFIN,N8,N,1002.05,995.05,995.05,1002.05,1002.05,998.29,910,911790.5,1002.05,995.05,4,INE121A07RF6,2023-08-17,2023-08-16 18:30:00+00:00,2023-08-17T12:01:02.791Z,2023-08-17T12:01:02.791Z,0,910,100.0,1001.97,17-Aug-2023,84.32933333333334
64de0bfe30b066288ad39d6f,CHOLAFIN,NA,N,1000.9,996.01,1000.9,996.01,996.01,1000.0,17,16982.93,1000.9,994.36,5,INE121A07RE9,2023-08-17,2023-08-16 18:30:00+00:00,2023-08-17T12:01:02.791Z,2023-08-17T12:01:02.791Z,0,13,76.47,999.0,17-Aug-2023,85.10633333333334
64df5d7f45861e58db66d9ae,CHOLAFIN,EQ,N,1020.0,997.25,1018.9,1016.95,1014.7,1020.8,2064231,2084090674.15,1214.6,658.0,62484,INE121A01024,2023-08-18,2023-08-17 18:30:00+00:00,2023-08-18T12:01:03.878Z,2023-08-18T12:01:03.878Z,0,1189498,57.62,1009.62,18-Aug-2023,83.69366666666666
64df5d7e45861e58db66d16b,CHOLAFIN,N6,N,993.5,989.0,993.5,990.0,990.0,993.0,721,713565.0,1000.0,989.0,17,INE121A07RH2,2023-08-18,2023-08-17 18:30:00+00:00,2023-08-18T12:01:02.181Z,2023-08-18T12:01:02.181Z,0,721,100.0,989.69,18-Aug-2023,85.04866666666666
64df5d7e45861e58db66d16c,CHOLAFIN,N7,N,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,5,5000.0,1000.0,1000.0,1,INE121A07RG4,2023-08-18,2023-08-17 18:30:00+00:00,2023-08-18T12:01:02.182Z,2023-08-18T12:01:02.182Z,0,5,100.0,1000.0,18-Aug-2023,85.04866666666666
64df5d7e45861e58db66d16d,CHOLAFIN,NA,N,1000.0,998.0,998.0,999.95,999.95,996.01,1259,1258993.7,1000.9,994.36,9,INE121A07RE9,2023-08-18,2023-08-17 18:30:00+00:00,2023-08-18T12:01:02.183Z,2023-08-18T12:01:02.183Z,0,1259,100.0,999.99,18-Aug-2023,86.71533333333333
64e351ff7669050cd3e122e3,CHOLAFIN,EQ,N,1052.25,1018.25,1028.95,1044.85,1046.85,1016.95,2226515,2320314227.65,1214.6,658.0,86076,INE121A01024,2023-08-21,2023-08-20 18:30:00+00:00,2023-08-21T12:01:03.763Z,2023-08-21T12:01:03.763Z,0,729443,32.76,1042.13,21-Aug-2023,84.47399999999999
64e351fe7669050cd3e11b00,CHOLAFIN,N6,N,1000.0,987.1,990.0,1000.0,1000.0,990.0,1221,1205497.46,1000.0,987.1,9,INE121A07RH2,2023-08-21,2023-08-20 18:30:00+00:00,2023-08-21T12:01:02.126Z,2023-08-21T12:01:02.126Z,0,1221,100.0,987.3,21-Aug-2023,84.47399999999999
64e351fe7669050cd3e11b01,CHOLAFIN,N8,N,1002.95,1002.25,1002.25,1002.6,1002.95,1002.05,8,8020.8,1002.95,995.05,2,INE121A07RF6,2023-08-21,2023-08-20 18:30:00+00:00,2023-08-21T12:01:02.123Z,2023-08-21T12:01:02.123Z,0,4,50.0,1002.6,21-Aug-2023,84.317
64e351fe7669050cd3e11b02,CHOLAFIN,NA,N,1000.8,999.95,999.97,1000.8,1000.8,999.95,1011,1010957.97,1000.9,994.36,5,INE121A07RE9,2023-08-21,2023-08-20 18:30:00+00:00,2023-08-21T12:01:02.127Z,2023-08-21T12:01:02.127Z,0,1011,100.0,999.96,21-Aug-2023,84.317
64e4a38047979abf8888b1f7,CHOLAFIN,EQ,N,1069.6,1041.0,1046.95,1062.35,1063.0,1044.85,1345173,1419742638.45,1214.6,658.0,60196,INE121A01024,2023-08-22,2023-08-21 18:30:00+00:00,2023-08-22T12:01:04.169Z,2023-08-22T12:01:04.169Z,0,393702,29.27,1055.43,22-Aug-2023,81.95933333333332
64e4a37e47979abf8888a8c0,CHOLAFIN,N4,N,1016.1,1015.0,1015.0,1015.0,1015.0,1015.0,650,659832.5,1023.64,1000.0,7,INE121A07QY9,2023-08-22,2023-08-21 18:30:00+00:00,2023-08-22T12:01:02.142Z,2023-08-22T12:01:02.142Z,0,650,100.0,1015.13,22-Aug-2023,81.95933333333332
64e4a37e47979abf8888a8c1,CHOLAFIN,N5,N,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,9,9135.0,1045.0,991.0,1,INE121A07QX1,2023-08-22,2023-08-21 18:30:00+00:00,2023-08-22T12:01:02.142Z,2023-08-22T12:01:02.142Z,0,9,100.0,1015.0,22-Aug-2023,83.08433333333332
64e4a37e47979abf8888aa36,CHOLAFIN,N6,N,997.0,988.2,997.0,988.22,988.22,1000.0,641,638055.4,1000.0,987.1,15,INE121A07RH2,2023-08-22,2023-08-21 18:30:00+00:00,2023-08-22T12:01:02.492Z,2023-08-22T12:01:02.492Z,0,641,100.0,995.41,22-Aug-2023,83.08433333333332
64e4a37e47979abf8888aa37,CHOLAFIN,N8,N,1003.13,1003.12,1003.12,1003.12,1003.13,1002.6,500,501564.5,1003.13,995.05,2,INE121A07RF6,2023-08-22,2023-08-21 18:30:00+00:00,2023-08-22T12:01:02.492Z,2023-08-22T12:01:02.492Z,0,500,100.0,1003.13,22-Aug-2023,84.22833333333332
64e4a37e47979abf8888aa38,CHOLAFIN,NA,N,1002.0,1000.1,1000.9,1000.39,1002.0,1000.8,6650,6655086.7,1002.0,994.36,11,INE121A07RE9,2023-08-22,2023-08-21 18:30:00+00:00,2023-08-22T12:01:02.493Z,2023-08-22T12:01:02.493Z,0,6650,100.0,1000.76,22-Aug-2023,84.22833333333332
64e5f4ff8ecd0bd8ed9e8967,CHOLAFIN,EQ,N,1090.05,1057.8,1062.95,1086.45,1089.0,1062.35,1946131,2096470526.55,1214.6,658.0,110049,INE121A01024,2023-08-23,2023-08-22 18:30:00+00:00,2023-08-23T12:01:03.712Z,2023-08-23T12:01:03.712Z,0,1135848,58.36,1077.25,23-Aug-2023,82.92
